date,capital
2025-12-10,93346.98880456986
2025-12-11,93286.86627614571
2025-12-12,93017.78000937402
2025-12-15,92276.53537829847
2025-12-16,91501.95285305603
2025-12-17,92054.26348006017
2025-12-18,92007.11509023648
2025-12-19,92242.85703935493
2025-12-22,93135.31696264294
2025-12-23,93657.31515755199
2025-12-24,94027.7704624446
2025-12-26,94128.80547927524
2025-12-29,93472.08750510566
2025-12-30,94263.51241156306
2025-12-31,94069.12222882468
2026-01-02,94831.72109325268
2026-01-05,94084.07268714087
2026-01-06,92080.38043470167
2026-01-07,91796.2703897522
2026-01-08,92738.30897860239
2026-01-09,92857.92975744586
2026-01-12,93148.91895261635
2026-01-13,94652.28707293516
2026-01-14,95370.02885830993
2026-01-15,95190.59483799241
2026-01-16,96715.79827095308
2026-01-20,96528.36919534997
2026-01-21,96434.65018878022
2026-01-22,96809.51727752281
2026-01-23,96340.93118221048
2026-01-26,96340.93118221048
2026-01-27,96528.36919534997
2026-01-28,96996.9552906623
2026-01-29,97090.66535969566
2026-01-30,97184.38436626541
2026-02-02,96622.08820191972
2026-02-03,96996.9552906623
2026-02-04,97371.8223794049
2026-02-05,97371.8223794049
2026-02-06,97371.8223794049
2026-02-09,97371.8223794049
2026-02-10,97371.8223794049
2026-02-11,97371.8223794049
2026-02-12,97371.8223794049
2026-02-13,97371.8223794049
2026-02-17,97371.8223794049
2026-02-18,97371.8223794049
2026-02-19,97371.8223794049
2026-02-20,97371.8223794049
2026-02-23,97279.9817273003
2026-02-24,97211.10561742517
2026-02-25,97257.02594347746
2026-02-26,97211.10561742517
2026-02-27,96920.20389903856
2026-03-02,96568.2385695063
2026-03-03,96338.63693924481
2026-03-04,96545.27402727683
2026-03-05,96269.7608293697
2026-03-06,95729.51603213836
2026-03-09,96125.79889930645
2026-03-10,96063.12374133768
2026-03-11,96356.76579322269
2026-03-12,95802.08304173655
2026-03-13,95035.10488180447
2026-03-16,96503.85849710088
2026-03-17,96931.17654250111
2026-03-18,95816.59691299369
2026-03-19,95345.73725382202
2026-03-20,91989.68926498231
2026-03-23,92545.19749942693
2026-03-24,91953.25307414455
2026-03-25,93351.33907870513
2026-03-26,90299.33631685741
2026-03-27,90255.47939483922
2026-03-30,90343.1932388756
2026-03-31,90343.1932388756
2026-04-01,90343.1932388756
2026-04-02,90430.90708291196
2026-04-06,90430.90708291196
2026-04-07,90430.90708291196
2026-04-08,90518.61256209576
2026-04-09,90518.61256209576
2026-04-10,90518.61256209576
2026-04-13,90562.46948411394
2026-04-14,90518.61256209576
2026-04-15,90348.35268058455
2026-04-16,90689.72916894166
2026-04-17,90665.77349672634
2026-04-20,90518.61256209576
2026-04-21,90518.61256209576
2026-04-22,90561.39171380724
2026-04-23,90518.61256209576
2026-04-24,90604.17086551871
2026-04-27,90604.17086551871
2026-04-28,90604.17086551871
2026-04-29,90604.17086551871
2026-04-30,90689.72916894166
2026-05-01,90780.33037055845
2026-05-04,90417.92556409126
2026-05-05,90644.42856813325
2026-05-06,91233.31909823016
2026-05-07,91097.4259360111
2026-05-08,91188.01849742177
2026-05-11,91278.61969903857
2026-05-12,91097.4259360111
2026-05-13,91097.4259360111
